File path,Nodes visited,Max heap size,Time
95/88.pickle,1000000,1000000,60.0
95/62.pickle,1000000,1000000,60.0
95/95.pickle,1000000,1000000,60.0
95/41.pickle,1597,831,0.5996260643005371
95/7.pickle,1000000,1000000,60.0
95/84.pickle,1000000,1000000,60.0
95/82.pickle,1000000,1000000,60.0
95/11.pickle,1000000,1000000,60.0
95/83.pickle,1000000,1000000,60.0
95/65.pickle,1000000,1000000,60.0
95/55.pickle,1000000,1000000,60.0
95/29.pickle,1000000,1000000,60.0
95/12.pickle,1000000,1000000,60.0
95/93.pickle,1000000,1000000,60.0
95/54.pickle,1000000,1000000,60.0
95/53.pickle,1000000,1000000,60.0
95/34.pickle,1000000,1000000,60.0
95/44.pickle,1000000,1000000,60.0
95/26.pickle,1000000,1000000,60.0
95/30.pickle,1000000,1000000,60.0
95/60.pickle,1000000,1000000,60.0
95/43.pickle,1000000,1000000,60.0
95/22.pickle,1000000,1000000,60.0
95/46.pickle,1000000,1000000,60.0
95/0.pickle,1000000,1000000,60.0
95/89.pickle,1000000,1000000,60.0
95/36.pickle,1000000,1000000,60.0
95/18.pickle,1000000,1000000,60.0
95/40.pickle,1000000,1000000,60.0
95/99.pickle,1000000,1000000,60.0
95/17.pickle,1000000,1000000,60.0
95/59.pickle,1000000,1000000,60.0
95/91.pickle,1000000,1000000,60.0
95/98.pickle,1000000,1000000,60.0
95/74.pickle,1000000,1000000,60.0
95/1.pickle,1000000,1000000,60.0
95/49.pickle,1000000,1000000,60.0
95/10.pickle,1000000,1000000,60.0
95/28.pickle,1000000,1000000,60.0
95/47.pickle,1000000,1000000,60.0
95/23.pickle,1000000,1000000,60.0
95/8.pickle,1000000,1000000,60.0
95/68.pickle,1000000,1000000,60.0
95/21.pickle,1000000,1000000,60.0
95/92.pickle,1000000,1000000,60.0
95/38.pickle,1000000,1000000,60.0
95/86.pickle,1000000,1000000,60.0
95/94.pickle,1000000,1000000,60.0
95/14.pickle,144396,71388,2.750405788421631
95/4.pickle,1000000,1000000,60.0
95/48.pickle,1000000,1000000,60.0
95/39.pickle,1000000,1000000,60.0
95/19.pickle,1000000,1000000,60.0
95/56.pickle,1000000,1000000,60.0
95/57.pickle,1000000,1000000,60.0
95/67.pickle,1000000,1000000,60.0
95/31.pickle,1000000,1000000,60.0
95/72.pickle,1000000,1000000,60.0
95/24.pickle,1000000,1000000,60.0
95/15.pickle,91479,45413,2.057231903076172
95/81.pickle,1000000,1000000,60.0
95/45.pickle,1000000,1000000,60.0
95/77.pickle,1000000,1000000,60.0
95/2.pickle,1000000,1000000,60.0
95/85.pickle,1000000,1000000,60.0
95/16.pickle,1000000,1000000,60.0
95/71.pickle,1000000,1000000,60.0
95/13.pickle,11918,6015,0.7465238571166992
95/52.pickle,1000000,776101,27.868231058120728
95/37.pickle,27116,13575,0.9857079982757568
95/35.pickle,1000000,1000000,60.0
95/63.pickle,1000000,1000000,60.0
95/20.pickle,1000000,1000000,60.0
95/70.pickle,1000000,1000000,60.0
95/80.pickle,1000000,1000000,60.0
95/61.pickle,22831,11475,0.9272432327270508
95/64.pickle,1000000,1000000,60.0
95/33.pickle,1000000,1000000,60.0
95/75.pickle,1000000,1000000,60.0
95/79.pickle,1000000,1000000,60.0
95/76.pickle,1000000,1000000,60.0
95/87.pickle,1000000,1000000,60.0
95/96.pickle,1000000,1000000,60.0
95/3.pickle,1000000,1000000,36.91216206550598
95/9.pickle,1000000,1000000,60.0
95/69.pickle,1000000,1000000,60.0
95/73.pickle,1000000,1000000,60.0
95/5.pickle,1000000,1000000,60.0
95/32.pickle,1000000,1000000,60.0
95/6.pickle,1000000,1000000,60.0
95/27.pickle,1000000,1000000,60.0
95/50.pickle,1000000,1000000,60.0
95/97.pickle,1000000,1000000,60.0
95/58.pickle,1000000,1000000,60.0
95/51.pickle,1000000,1000000,60.0
95/66.pickle,1000000,660687,18.58622717857361
95/78.pickle,1000000,1000000,60.0
95/42.pickle,1000000,1000000,60.0
95/25.pickle,1000000,1000000,60.0
95/90.pickle,1000000,836151,19.922751903533936
