File path,Nodes visited,Heap size,Time
100/0.pickle,1000000,2707766,60
100/1.pickle,1000000,2706457,60
100/2.pickle,1000000,2723313,60
100/3.pickle,1000000,2718834,60
100/4.pickle,1000000,2685735,60
100/5.pickle,1000000,2694201,60
100/6.pickle,1000000,2699188,60
100/7.pickle,1000000,2705915,60
100/8.pickle,1000000,2699644,60
100/9.pickle,1000000,2708749,60
100/10.pickle,1000000,2714639,60
100/11.pickle,1000000,2690519,60
100/12.pickle,1000000,2689709,60
100/13.pickle,1000000,2688328,60
100/14.pickle,1000000,2657669,60
100/15.pickle,1000000,2732910,60
100/16.pickle,1000000,2700103,60
100/17.pickle,1000000,2730837,60
100/18.pickle,1000000,2709847,60
100/19.pickle,1000000,2726716,60
100/20.pickle,1000000,2694992,60
100/21.pickle,1000000,2710578,60
100/22.pickle,1000000,2701335,60
100/23.pickle,1000000,2742988,60
100/24.pickle,1000000,2722999,60
100/25.pickle,1000000,2695313,60
100/26.pickle,1000000,2712371,60
100/27.pickle,1000000,2714766,60
100/28.pickle,1000000,2699809,60
100/29.pickle,1000000,2683908,60
100/30.pickle,1000000,2703751,60
100/31.pickle,1000000,2715568,60
100/32.pickle,1000000,2714265,60
100/33.pickle,1000000,2723579,60
100/34.pickle,1000000,2705739,60
100/35.pickle,1000000,2690833,60
100/36.pickle,1000000,2698700,60
100/37.pickle,1000000,2697357,60
100/38.pickle,1000000,2714617,60
100/39.pickle,1000000,2706454,60
100/40.pickle,1000000,2691817,60
100/41.pickle,1000000,2702986,60
100/42.pickle,1000000,2709291,60
100/43.pickle,1000000,2708413,60
100/44.pickle,1000000,2712078,60
100/45.pickle,1000000,2699284,60
100/46.pickle,1000000,2701713,60
100/47.pickle,1000000,2712313,60
100/48.pickle,1000000,2718044,60
100/49.pickle,1000000,2712688,60
100/50.pickle,1000000,2696174,60
100/51.pickle,1000000,2685709,60
100/52.pickle,1000000,2665403,60
100/53.pickle,1000000,2700010,60
100/54.pickle,1000000,2692340,60
100/55.pickle,1000000,2683047,60
100/56.pickle,1000000,2712034,60
100/57.pickle,1000000,2675748,60
100/58.pickle,1000000,2696349,60
100/59.pickle,1000000,2708010,60
100/60.pickle,1000000,2726021,60
100/61.pickle,1000000,2680803,60
100/62.pickle,1000000,2715654,60
100/63.pickle,1000000,2685499,60
100/64.pickle,1000000,2710018,60
100/65.pickle,1000000,2668073,60
100/66.pickle,1000000,2684700,60
100/67.pickle,1000000,2683174,60
100/68.pickle,1000000,2741724,60
100/69.pickle,1000000,2700015,60
100/70.pickle,1000000,2721727,60
100/71.pickle,1000000,2708625,60
100/72.pickle,1000000,2717682,60
100/73.pickle,1000000,2706039,60
100/74.pickle,1000000,2720780,60
100/75.pickle,1000000,2713874,60
100/76.pickle,1000000,2691361,60
100/77.pickle,1000000,2657669,60
100/78.pickle,1000000,2683530,60
100/79.pickle,1000000,2713109,60
100/80.pickle,1000000,2707178,60
100/81.pickle,1000000,2727288,60
100/82.pickle,1000000,2689176,60
100/83.pickle,1000000,2740372,60
100/84.pickle,1000000,2722748,60
100/85.pickle,1000000,2704316,60
100/86.pickle,1000000,2702161,60
100/87.pickle,1000000,2718683,60
100/88.pickle,1000000,2724116,60
100/89.pickle,1000000,2677845,60
100/90.pickle,1000000,2712338,60
100/91.pickle,1000000,2711000,60
100/92.pickle,1000000,2711953,60
100/93.pickle,1000000,2669794,60
100/94.pickle,1000000,2701962,60
100/95.pickle,1000000,2710164,60
100/96.pickle,1000000,2685289,60
100/97.pickle,1000000,2715676,60
100/98.pickle,1000000,2702674,60
100/99.pickle,1000000,2659729,60
