File path,Nodes visited,Heap size,Time
90/0.pickle,1000000,574294,60
90/1.pickle,1000000,485984,60
90/2.pickle,1000000,1932343,60
90/3.pickle,1000000,1887135,60
90/4.pickle,1000000,1884068,60
90/5.pickle,1000000,961487,60
90/6.pickle,1000000,574605,60
90/7.pickle,1000000,485712,60
90/8.pickle,1000000,1136392,60
90/9.pickle,1000000,1475252,60
90/10.pickle,1000000,1441054,60
90/11.pickle,1000000,1949122,60
90/12.pickle,1000000,1919098,60
90/13.pickle,1000000,1894844,60
90/14.pickle,1000000,1910972,60
90/15.pickle,1000000,1427568,60
90/16.pickle,1000000,572466,60
90/17.pickle,1000000,569340,60
90/18.pickle,1000000,573069,60
90/19.pickle,1000000,573641,60
90/20.pickle,1000000,572040,60
90/21.pickle,1000000,576562,60
90/22.pickle,1000000,495221,60
90/23.pickle,1000000,2620870,60
90/24.pickle,1000000,2681459,60
90/25.pickle,1000000,2626836,60
90/26.pickle,1000000,2654001,60
90/27.pickle,1000000,2648488,60
90/28.pickle,1000000,2692771,60
90/29.pickle,1000000,2605501,60
90/30.pickle,1000000,2663550,60
90/31.pickle,1000000,2601001,60
90/32.pickle,1000000,2712342,60
90/33.pickle,1000000,2657940,60
90/34.pickle,1000000,2673843,60
90/35.pickle,1000000,2627483,60
90/36.pickle,1000000,2706479,60
90/37.pickle,1000000,2711833,60
90/38.pickle,1000000,2702503,60
90/39.pickle,1000000,2690114,60
90/40.pickle,1000000,2656825,60
90/41.pickle,1000000,2728748,60
90/42.pickle,1000000,2701469,60
90/43.pickle,1000000,2716112,60
90/44.pickle,1000000,2673499,60
90/45.pickle,1000000,2688807,60
90/46.pickle,1000000,2718147,60
90/47.pickle,1000000,2664085,60
90/48.pickle,1000000,2693146,60
90/49.pickle,1000000,2690493,60
90/50.pickle,1000000,2702867,60
90/51.pickle,1000000,2657588,60
90/52.pickle,1000000,2680343,60
90/53.pickle,1000000,2673599,60
90/54.pickle,1000000,2697191,60
90/55.pickle,1000000,2686220,60
90/56.pickle,1000000,2700595,60
90/57.pickle,1000000,2697762,60
90/58.pickle,1000000,2710024,60
90/59.pickle,1000000,2707384,60
90/60.pickle,1000000,2698864,60
90/61.pickle,1000000,2679996,60
90/62.pickle,1000000,2649367,60
90/63.pickle,1000000,2691045,60
90/64.pickle,1000000,2697191,60
90/65.pickle,1000000,2665593,60
90/66.pickle,1000000,2603221,60
90/67.pickle,1000000,2620367,60
90/68.pickle,1000000,2642448,60
90/69.pickle,1000000,2639999,60
90/70.pickle,1000000,2595421,60
90/71.pickle,1000000,2602974,60
90/72.pickle,1000000,2622248,60
90/73.pickle,1000000,2599180,60
90/74.pickle,1000000,2638490,60
90/75.pickle,1000000,2609206,60
90/76.pickle,1000000,2664085,60
90/77.pickle,1000000,2632332,60
90/78.pickle,1000000,2443735,60
90/79.pickle,1000000,2577079,60
90/80.pickle,1000000,2643450,60
90/81.pickle,1000000,2620437,60
90/82.pickle,1000000,2664152,60
90/83.pickle,1000000,2636090,60
90/84.pickle,1000000,2601962,60
90/85.pickle,1000000,2657958,60
90/86.pickle,1000000,2657669,60
90/87.pickle,1000000,2638898,60
90/88.pickle,1000000,2586598,60
90/89.pickle,1000000,2661118,60
90/90.pickle,1000000,2613745,60
90/91.pickle,1000000,2616740,60
90/92.pickle,1000000,2603829,60
90/93.pickle,1000000,2601337,60
90/94.pickle,1000000,2629460,60
90/95.pickle,1000000,2663832,60
90/96.pickle,1000000,2633104,60
90/97.pickle,1000000,2643047,60
90/98.pickle,1000000,2667822,60
90/99.pickle,1000000,2657669,60
