File path,Nodes visited,Heap size,Time
35/0.pickle,1000000,2716127,60.0
35/1.pickle,1000000,2697494,60.0
35/2.pickle,1000000,2651702,60.0
35/3.pickle,1000000,2663553,60.0
35/4.pickle,1000000,2724735,60.0
35/5.pickle,1000000,2702791,60.0
35/6.pickle,1000000,2677703,60.0
35/7.pickle,1000000,2687737,60.0
35/8.pickle,309201,151927,2.783557176589966
35/9.pickle,1000000,2716557,60.0
35/10.pickle,1000000,2663078,60.0
35/11.pickle,1000000,2682552,60.0
35/12.pickle,1000000,2569356,60.0
35/13.pickle,1000000,1273410,60.0
35/14.pickle,1000000,2042168,60.0
35/15.pickle,1000000,485442,60.0
35/16.pickle,1000000,1428814,60.0
35/17.pickle,1000000,1440240,60.0
35/18.pickle,1000000,1432586,60.0
35/19.pickle,1000000,1910910,60.0
35/20.pickle,1000000,1940067,60.0
35/21.pickle,1000000,1883850,60.0
35/22.pickle,1000000,1893852,60.0
35/23.pickle,1000000,1875080,60.0
35/24.pickle,1000000,1871130,60.0
35/25.pickle,1000000,863187,60.0
35/26.pickle,1000000,578288,60.0
35/27.pickle,1000000,572004,60.0
35/28.pickle,1000000,578268,60.0
35/29.pickle,1000000,573939,60.0
35/30.pickle,1000000,581263,60.0
35/31.pickle,1000000,572964,60.0
35/32.pickle,1000000,579880,60.0
35/33.pickle,1000000,485998,60.0
35/34.pickle,1000000,1909240,60.0
35/35.pickle,1000000,1888940,60.0
35/36.pickle,1000000,1910021,60.0
35/37.pickle,1000000,1115629,60.0
35/38.pickle,1000000,567840,60.0
35/39.pickle,1000000,575419,60.0
35/40.pickle,1000000,485442,60.0
35/41.pickle,1000000,1936010,60.0
35/42.pickle,1000000,1902668,60.0
35/43.pickle,1000000,1895464,60.0
35/44.pickle,1000000,931499,60.0
35/45.pickle,1000000,577431,60.0
35/46.pickle,1000000,485737,60.0
35/47.pickle,1000000,1157851,60.0
35/48.pickle,1000000,1450626,60.0
35/49.pickle,1000000,1440240,60.0
35/50.pickle,1000000,1992865,60.0
35/51.pickle,1000000,1936228,60.0
35/52.pickle,1000000,1924004,60.0
35/53.pickle,1000000,1905863,60.0
35/54.pickle,1000000,1432586,60.0
35/55.pickle,1000000,571593,60.0
35/56.pickle,1000000,573002,60.0
35/57.pickle,1000000,567779,60.0
35/58.pickle,1000000,571468,60.0
35/59.pickle,1000000,581211,60.0
35/60.pickle,1000000,579135,60.0
35/61.pickle,1000000,495081,60.0
35/62.pickle,1000000,2709653,60.0
35/63.pickle,1000000,2684002,60.0
35/64.pickle,1000000,2640416,60.0
35/65.pickle,1000000,2662991,60.0
35/66.pickle,1000000,2664113,60.0
35/67.pickle,1000000,2651249,60.0
35/68.pickle,1000000,2625632,60.0
35/69.pickle,1000000,2706898,60.0
35/70.pickle,1000000,2639901,60.0
35/71.pickle,1000000,2700937,60.0
35/72.pickle,1000000,2660568,60.0
35/73.pickle,1000000,2676182,60.0
35/74.pickle,1000000,2659773,60.0
35/75.pickle,1000000,2710340,60.0
35/76.pickle,1000000,2695746,60.0
35/77.pickle,1000000,2679847,60.0
35/78.pickle,1000000,2682662,60.0
35/79.pickle,1000000,2664151,60.0
35/80.pickle,1000000,2729186,60.0
35/81.pickle,1000000,2751216,60.0
35/82.pickle,1000000,2709180,60.0
35/83.pickle,1000000,2674488,60.0
35/84.pickle,1000000,2657248,60.0
35/85.pickle,1000000,2088090,45.6119270324707
35/86.pickle,1000000,2692728,60.0
35/87.pickle,1000000,2670273,60.0
35/88.pickle,1000000,2672943,60.0
35/89.pickle,1000000,2700691,60.0
35/90.pickle,1000000,2674063,60.0
35/91.pickle,1000000,2698366,60.0
35/92.pickle,31668,15841,0.2563550472259521
35/93.pickle,1000000,2657243,60.0
35/94.pickle,1000000,2675084,60.0
35/95.pickle,1000000,2669834,60.0
35/96.pickle,1000000,2762207,60.0
35/97.pickle,1000000,2691754,60.0
35/98.pickle,1000000,1117827,24.662900924682617
35/99.pickle,1000000,2669011,60.0
