File path,Nodes visited,Heap size,Time
75/0.pickle,1000000,2723895,60
75/1.pickle,1000000,2687993,60
75/2.pickle,1000000,2708434,60
75/3.pickle,1000000,2712426,60
75/4.pickle,1000000,2683787,60
75/5.pickle,1000000,2660518,60
75/6.pickle,1000000,2707069,60
75/7.pickle,1000000,2705986,60
75/8.pickle,1000000,2708009,60
75/9.pickle,1000000,2715388,60
75/10.pickle,1000000,2726646,60
75/11.pickle,1000000,2716289,60
75/12.pickle,1000000,2717029,60
75/13.pickle,1000000,2690129,60
75/14.pickle,1000000,2707756,60
75/15.pickle,1000000,2704811,60
75/16.pickle,1000000,2695445,60
75/17.pickle,1000000,2695647,60
75/18.pickle,1000000,2685317,60
75/19.pickle,1000000,2662658,60
75/20.pickle,1000000,2704573,60
75/21.pickle,1000000,2672993,60
75/22.pickle,1000000,2707563,60
75/23.pickle,1000000,2696772,60
75/24.pickle,1000000,2738905,60
75/25.pickle,1000000,2736868,60
75/26.pickle,1000000,2719586,60
75/27.pickle,1000000,2686440,60
75/28.pickle,1000000,2734671,60
75/29.pickle,1000000,2705274,60
75/30.pickle,1000000,2678380,60
75/31.pickle,1000000,2729030,60
75/32.pickle,1000000,2692061,60
75/33.pickle,1000000,2697555,60
75/34.pickle,1000000,2700050,60
75/35.pickle,1000000,2708058,60
75/36.pickle,1000000,2712847,60
75/37.pickle,1000000,2699851,60
75/38.pickle,1000000,2704536,60
75/39.pickle,1000000,2713932,60
75/40.pickle,1000000,2686262,60
75/41.pickle,1000000,2697434,60
75/42.pickle,1000000,2725365,60
75/43.pickle,1000000,2696792,60
75/44.pickle,1000000,2729991,60
75/45.pickle,1000000,2688145,60
75/46.pickle,1000000,2681333,60
75/47.pickle,1000000,2685021,60
75/48.pickle,1000000,2679571,60
75/49.pickle,1000000,2710891,60
75/50.pickle,1000000,2720501,60
75/51.pickle,1000000,2738303,60
75/52.pickle,1000000,2715141,60
75/53.pickle,1000000,2672216,60
75/54.pickle,1000000,2707312,60
75/55.pickle,1000000,2696599,60
75/56.pickle,1000000,2717313,60
75/57.pickle,1000000,2693340,60
75/58.pickle,1000000,2672338,60
75/59.pickle,1000000,2664314,60
75/60.pickle,1000000,2694982,60
75/61.pickle,1000000,2702195,60
75/62.pickle,1000000,2706946,60
75/63.pickle,1000000,2697522,60
75/64.pickle,1000000,2675576,60
75/65.pickle,1000000,2688630,60
75/66.pickle,1000000,2679773,60
75/67.pickle,1000000,2694166,60
75/68.pickle,1000000,2715739,60
75/69.pickle,1000000,2704056,60
75/70.pickle,1000000,2701148,60
75/71.pickle,1000000,2686414,60
75/72.pickle,1000000,2693526,60
75/73.pickle,1000000,2727730,60
75/74.pickle,1000000,2691581,60
75/75.pickle,1000000,2683559,60
75/76.pickle,1000000,2702834,60
75/77.pickle,1000000,2678496,60
75/78.pickle,1000000,2717149,60
75/79.pickle,1000000,2662535,60
75/80.pickle,1000000,2691064,60
75/81.pickle,1000000,2734282,60
75/82.pickle,1000000,2685294,60
75/83.pickle,1000000,2718387,60
75/84.pickle,1000000,2709972,60
75/85.pickle,1000000,2696405,60
75/86.pickle,1000000,2728681,60
75/87.pickle,1000000,2696211,60
75/88.pickle,1000000,2699739,60
75/89.pickle,1000000,2715952,60
75/90.pickle,1000000,2702177,60
75/91.pickle,1000000,2712101,60
75/92.pickle,1000000,2685377,60
75/93.pickle,1000000,2699940,60
75/94.pickle,1000000,2680853,60
75/95.pickle,1000000,2695599,60
75/96.pickle,1000000,2697927,60
75/97.pickle,1000000,2714974,60
75/98.pickle,1000000,2695551,60
75/99.pickle,1000000,2713858,60
