File path,Nodes visited,Max heap size,Time
25/61.pickle,147,75,0.6217219829559326
25/56.pickle,1,0,0.5657789707183838
25/63.pickle,28,16,0.6245510578155518
25/68.pickle,4,3,0.6462278366088867
25/9.pickle,35,18,0.5311579704284668
25/57.pickle,13,8,0.6196038722991943
25/47.pickle,10,5,0.5013828277587891
25/52.pickle,31,17,0.6175351142883301
25/92.pickle,26,15,0.4798190593719482
25/88.pickle,1,0,0.5252561569213867
25/25.pickle,46,23,0.7816829681396484
25/96.pickle,90,46,0.5919978618621826
25/85.pickle,34,19,0.566756010055542
25/79.pickle,1,0,0.5498301982879639
25/8.pickle,2,1,0.617969274520874
25/78.pickle,1,0,0.4896209239959717
25/32.pickle,33,17,0.471102237701416
25/72.pickle,30,16,0.49664306640625
25/65.pickle,2,1,0.5114989280700684
25/28.pickle,2,1,0.5185048580169678
25/70.pickle,1,0,0.6639361381530762
25/45.pickle,9,6,0.5975039005279541
25/3.pickle,9,6,0.4907052516937256
25/80.pickle,14,7,0.5276248455047607
25/15.pickle,12,6,0.5200769901275635
25/33.pickle,1,0,0.5474510192871094
25/10.pickle,1,0,0.5087978839874268
25/30.pickle,40,20,0.4876580238342285
25/77.pickle,7,4,0.507073163986206
25/76.pickle,13,7,0.4998300075531006
25/26.pickle,113,60,0.7623031139373779
25/49.pickle,1,0,0.5587031841278076
25/64.pickle,3,2,0.4703288078308105
25/38.pickle,1,0,0.5300939083099365
25/20.pickle,2,1,0.567702054977417
25/55.pickle,40,21,0.6599071025848389
25/43.pickle,1,0,0.504662036895752
25/7.pickle,1,0,0.5174849033355713
25/53.pickle,11,6,0.498600959777832
25/51.pickle,2,1,0.6006429195404053
25/13.pickle,33,18,0.7448630332946777
25/95.pickle,1,0,0.5466868877410889
25/59.pickle,14,8,0.4976418018341064
25/75.pickle,58,31,0.5303289890289307
25/35.pickle,1,0,0.5399911403656006
25/37.pickle,155,79,0.6869428157806396
25/62.pickle,1,0,0.5432150363922119
25/36.pickle,1,0,0.5087687969207764
25/39.pickle,2,1,0.505544900894165
25/41.pickle,121,67,0.5720667839050293
25/12.pickle,12,6,0.5657577514648438
25/24.pickle,12,7,0.5073168277740479
25/0.pickle,10,5,0.6432807445526123
25/29.pickle,74,36,0.5615270137786865
25/11.pickle,18,9,0.5329017639160156
25/14.pickle,12,6,0.503230094909668
25/48.pickle,6,3,0.4969379901885986
25/1.pickle,31,16,0.5183620452880859
25/93.pickle,1,0,0.5221030712127686
25/34.pickle,9,6,0.5333259105682373
25/40.pickle,16,9,0.5392801761627197
25/83.pickle,41,24,0.4853389263153076
25/71.pickle,16,10,0.4635229110717773
25/99.pickle,53,27,0.4580030441284179
25/82.pickle,27,14,0.6042008399963379
25/87.pickle,14,8,0.5095617771148682
25/69.pickle,1,0,0.5066101551055908
25/67.pickle,1,0,0.51344895362854
25/91.pickle,1,0,0.6681380271911621
25/27.pickle,1,0,0.5357286930084229
25/4.pickle,9,4,0.5573639869689941
25/90.pickle,86,44,0.6842598915100098
25/97.pickle,1,0,0.5566720962524414
25/54.pickle,2,1,0.5220401287078857
25/86.pickle,12,7,0.4827978610992431
25/60.pickle,49,26,0.5277609825134277
25/23.pickle,22,12,0.4816639423370361
25/42.pickle,80,42,0.5522370338439941
25/18.pickle,1,0,0.5597600936889648
25/46.pickle,8,4,0.5221269130706787
25/58.pickle,53,29,0.5358898639678955
25/81.pickle,10,7,0.6784138679504395
25/2.pickle,40,19,0.537499189376831
25/16.pickle,73,38,0.4969258308410644
25/22.pickle,2,1,0.6804709434509277
25/73.pickle,1,0,0.5779869556427002
25/19.pickle,1,0,0.5269627571105957
25/74.pickle,19,10,0.5550229549407959
25/50.pickle,35,17,0.5973150730133057
25/6.pickle,16,9,0.4317450523376465
25/17.pickle,336,169,0.5979797840118408
25/66.pickle,95,47,0.6751971244812012
25/89.pickle,14,7,0.4722268581390381
25/21.pickle,1,0,0.4675421714782715
25/44.pickle,12,7,0.4498059749603271
25/94.pickle,1,0,0.4674239158630371
25/31.pickle,1,0,0.4941339492797851
25/98.pickle,87,43,0.4969391822814941
25/5.pickle,12,7,0.36944580078125
25/84.pickle,9,6,0.3692288398742676
