File path,Nodes visited,Max heap size,Time
75/2.pickle,9912,4789,3.009026050567627
75/3.pickle,16159,7860,3.666238307952881
75/49.pickle,43,23,0.5816628932952881
75/81.pickle,18640,9153,5.223043203353882
75/47.pickle,16615,7855,4.077069044113159
75/79.pickle,6480,3046,2.2547121047973633
75/50.pickle,1882,924,0.9300968647003174
75/34.pickle,223140,104966,46.445528984069824
75/41.pickle,4751,2389,1.4793601036071775
75/32.pickle,2893,1414,1.2244186401367188
75/86.pickle,1916,913,0.940925121307373
75/13.pickle,27603,13443,5.911374092102051
75/29.pickle,9356,4485,2.400484085083008
75/16.pickle,84115,40042,17.171864986419678
75/76.pickle,15106,7158,3.4817168712615967
75/80.pickle,110108,52666,24.170918941497803
75/26.pickle,155757,75590,32.033782720565796
75/82.pickle,454571,208211,60.0
75/46.pickle,1000000,619009,60.0
75/19.pickle,285322,135478,59.372400999069214
75/23.pickle,166688,77196,34.494757890701294
75/28.pickle,863,433,0.7998878955841064
75/1.pickle,6735,3254,1.8793017864227295
75/39.pickle,39307,19063,9.136769771575928
75/6.pickle,12905,6204,3.01289963722229
75/63.pickle,28601,13713,6.3340349197387695
75/44.pickle,40665,19407,9.47576904296875
75/20.pickle,48539,23388,10.12032699584961
75/94.pickle,4539,2236,1.808218240737915
75/7.pickle,3895,1903,1.4888617992401123
75/87.pickle,116815,55851,24.06394386291504
75/75.pickle,32535,15591,7.466557025909424
75/58.pickle,7410,3609,2.129106283187866
75/30.pickle,11546,5467,2.871394157409668
75/42.pickle,2569,1266,1.1939120292663574
75/45.pickle,96537,45883,19.719404935836792
75/67.pickle,25124,11772,5.505417108535767
75/48.pickle,24461,11730,5.380338907241821
75/93.pickle,51299,24701,12.749850988388062
75/77.pickle,1136,564,0.970228910446167
75/36.pickle,163663,80524,33.33784866333008
75/66.pickle,678016,322685,60.0
75/4.pickle,649123,309351,60.0
75/12.pickle,6889,3391,2.0161731243133545
75/22.pickle,1211,598,0.8394598960876465
75/97.pickle,7627,3536,2.038940906524658
75/62.pickle,274910,131580,56.25971579551697
75/54.pickle,80414,39024,16.69524121284485
75/70.pickle,86639,40472,18.2976598739624
75/95.pickle,5174,2570,1.6407322883605957
75/43.pickle,556184,266681,60.0
75/21.pickle,25216,12135,5.513846158981323
75/33.pickle,56031,27261,12.033862829208374
75/10.pickle,12049,5879,3.0708909034729004
75/71.pickle,28070,13505,6.18833589553833
75/78.pickle,5886,2784,1.8585326671600344
75/53.pickle,96475,46082,19.71588015556335
75/89.pickle,2755,1366,1.0065100193023682
75/68.pickle,5694,2769,1.986109733581543
75/96.pickle,97141,46803,20.763947010040283
75/88.pickle,9904,4826,2.667771100997925
75/27.pickle,6912,3353,1.9945549964904783
75/11.pickle,8204,3924,2.094320774078369
75/35.pickle,568,277,0.7469260692596436
75/91.pickle,62956,29835,13.51386332511902
75/90.pickle,3958,1898,1.3169448375701904
75/56.pickle,2448,1205,1.0437378883361816
75/38.pickle,13341,6433,3.2845699787139893
75/17.pickle,69709,33301,14.548233032226562
75/52.pickle,20048,9662,4.6554858684539795
75/64.pickle,638,328,0.7850461006164551
75/60.pickle,11080,5341,2.841972827911377
75/92.pickle,69043,33355,14.473473072052002
75/83.pickle,8054,3850,2.1958887577056885
75/59.pickle,20216,9675,4.503266096115112
75/31.pickle,3991,1956,1.3884549140930176
75/15.pickle,15764,7637,4.287078142166138
75/5.pickle,13777,6598,3.3374171257019043
75/85.pickle,61874,29884,12.655519962310793
75/57.pickle,637528,304032,60.0
75/84.pickle,3249,1595,1.2646911144256592
75/74.pickle,13829,6633,3.3338029384613037
75/37.pickle,56550,27707,11.567126035690308
75/55.pickle,1092,540,0.773751974105835
75/61.pickle,279920,131645,58.76991891860962
75/65.pickle,91404,43403,19.334805011749268
75/40.pickle,681,335,0.7385551929473877
75/69.pickle,40094,19182,8.788979053497314
75/99.pickle,199324,95178,44.17509388923645
75/9.pickle,70659,34288,16.096696853637695
75/0.pickle,14662,7158,3.4992358684539795
75/51.pickle,10377,4980,2.4239039421081543
75/14.pickle,208648,100256,36.832090854644775
75/73.pickle,61245,28936,12.312828063964844
75/98.pickle,1987,978,0.8677988052368164
75/25.pickle,849,412,0.6629078388214111
75/72.pickle,28051,13488,5.027740955352783
75/8.pickle,2377,1135,0.9166042804718018
75/24.pickle,168072,80187,29.29183888435364
75/18.pickle,18826,9146,2.920044183731079
