states_explored,heap_size,time
122,66,0.05023002624511719
102588,47629,22.121055841445923
17655,8362,3.5268092155456543
16,10,0.0019690990447998047
85,47,0.012967348098754883
94,49,0.023813247680664062
4392,2091,0.8421602249145508
3220,1593,0.6175432205200195
117,63,0.016482114791870117
31,15,0.012782812118530273
4939,2347,0.9419920444488525
437,221,0.08301901817321777
6908,3284,1.3731939792633057
52,30,0.007096052169799805
38,20,0.00876307487487793
373,190,0.06859803199768066
417,213,0.08179092407226562
83,45,0.012505769729614258
552,279,0.10512614250183105
234,118,0.038877010345458984
190,100,0.03287506103515625
700,349,0.12630391120910645
148173,68668,31.33702802658081
3462,1702,0.6514780521392822
3634,1776,0.7309451103210449
1229,595,0.2410120964050293
53,29,0.009199142456054688
343,168,0.07578897476196289
57,32,0.013632059097290039
1432,678,0.2941100597381592
1664,828,0.3173220157623291
29,17,0.00505375862121582
53,30,0.01118612289428711
153,77,0.025696992874145508
103,57,0.02077484130859375
898,450,0.1845388412475586
901,452,0.2118532657623291
592,299,0.12473607063293457
300,150,0.0461421012878418
397,200,0.07110905647277832
53,29,0.013210773468017578
412,204,0.06478571891784668
94,51,0.013015031814575195
690,354,0.11960601806640625
603,289,0.12714076042175293
173,90,0.03166317939758301
229,123,0.05393218994140625
389,194,0.08041191101074219
213,104,0.043107032775878906
853,429,0.19486308097839355
449,230,0.09337925910949707
3588,1705,0.6941380500793457
1191,591,0.24528098106384277
6892,3302,1.4018712043762207
43,22,0.0060117244720458984
5046,2448,1.0238769054412842
464,237,0.09304380416870117
90,49,0.02413487434387207
4870,2361,0.9592790603637695
84,46,0.01537775993347168
76,39,0.015888214111328125
58,31,0.01395416259765625
97,51,0.028117895126342773
1366,660,0.26393604278564453
324,162,0.08466792106628418
498,246,0.1318209171295166
85,45,0.0159151554107666
6412,3083,1.6081180572509766
51,28,0.011163949966430664
260,130,0.055789947509765625
49,24,0.010106086730957031
130231,60177,28.83147096633911
45,24,0.007739067077636719
49,27,0.008753061294555664
62,32,0.00950312614440918
2988,1460,0.6322202682495117
442,228,0.08434677124023438
157,81,0.025439977645874023
1231,613,0.2300400733947754
4189,1990,1.0108182430267334
65424,29818,13.812119960784912
872,427,0.17478704452514648
305,156,0.05065798759460449
1204,597,0.23029088973999023
9397,4490,2.024022102355957
662,332,0.13544702529907227
67,36,0.010498046875
61,32,0.012480974197387695
69,34,0.012775897979736328
1664,805,0.3289189338684082
1552,776,0.2920708656311035
95,50,0.01548910140991211
78,43,0.019440174102783203
1140,560,0.23456192016601562
3721,1770,0.7549939155578613
265,131,0.056694984436035156
1328,625,0.25183892250061035
431,219,0.08075499534606934
22,12,0.0029189586639404297
11,7,0.0013189315795898438
13,9,0.0014107227325439453
292,140,0.05710291862487793
148,78,0.024384021759033203
3076,1508,0.6061697006225586
5684,2733,1.2003381252288818
3783,1783,0.7656729221343994
15,9,0.0018248558044433594
4809,2299,1.0673651695251465
34,18,0.009384870529174805
581,287,0.12252092361450195
5362,2564,1.1143522262573242
482,248,0.08302903175354004
5991,2870,1.3493187427520752
74,39,0.010499000549316406
68882,31608,13.872341871261597
2125,1033,0.4004859924316406
667,335,0.13319087028503418
7264,3503,1.526183843612671
996,495,0.2341020107269287
50,26,0.006891012191772461
32,18,0.006054878234863281
173,90,0.031137704849243164
34,17,0.00675201416015625
405,206,0.09933900833129883
817,405,0.16696405410766602
45,25,0.012726068496704102
27,14,0.004701852798461914
35,20,0.017142057418823242
34,19,0.00735783576965332
297,148,0.0554049015045166
37934,18016,8.127344846725464
507,252,0.10991907119750977
51,27,0.009741067886352539
418,214,0.07393097877502441
15106,7111,3.05036997795105
62232,28318,13.340970039367676
1564,762,0.29477691650390625
1170,579,0.23098397254943848
81717,37622,18.084499835968018
62145,28315,13.793649196624756
404,202,0.0756080150604248
929,458,0.18557095527648926
44,23,0.0061190128326416016
3678,1724,0.8605551719665527
128,64,0.03451991081237793
49,26,0.011037111282348633
1827,885,0.3931858539581299
16,10,0.002107858657836914
222,111,0.039121150970458984
649,331,0.12576508522033691
473,243,0.08278870582580566
3574,1741,0.7295181751251221
11,7,0.0014200210571289062
286,146,0.053707122802734375
806,391,0.1372230052947998
127,70,0.027746200561523438
92,50,0.017570972442626953
39,21,0.006220102310180664
8889,4280,1.822239875793457
943,457,0.18674683570861816
169,90,0.033380746841430664
96,50,0.024771928787231445
932,461,0.20917820930480957
1263,620,0.25596070289611816
378,188,0.08312201499938965
700,337,0.1374650001525879
85,47,0.012063980102539062
59,33,0.010450124740600586
17,9,0.0037331581115722656
3916,1876,0.8214077949523926
4407,2108,0.9103076457977295
1660,820,0.38381195068359375
5953,2760,1.190713882446289
68116,31243,14.737888097763062
36,21,0.008835077285766602
69489,31737,13.994081020355225
3524,1729,0.6680588722229004
100,54,0.018368005752563477
1452,699,0.2858419418334961
666,330,0.11621308326721191
8312,4007,1.5898330211639404
11729,5615,2.1982531547546387
403,199,0.07918977737426758
6077,2940,1.2842743396759033
178,92,0.03012394905090332
3512,1721,0.6735680103302002
199,101,0.04422497749328613
343,177,0.05555391311645508
1903,936,0.35512304306030273
51,28,0.014010190963745117
57,30,0.01722860336303711
64052,29167,12.6774320602417
659,327,0.10861015319824219
9119,4390,1.7578990459442139
3738,1777,0.7182679176330566
22,13,0.0030150413513183594
943,475,0.16551876068115234
498,257,0.09775018692016602
187,97,0.03151583671569824
87,46,0.018208026885986328
11948,5641,2.326416015625
64,32,0.009313821792602539
3539,1657,0.6847760677337646
6048,2920,1.1542870998382568
24,14,0.0039827823638916016
13282,6283,2.5265588760375977
769,373,0.14956188201904297
43,23,0.006251096725463867
89,46,0.012723922729492188
5,3,0.0004627704620361328
14529,6885,3.218143939971924
46,24,0.00905299186706543
2746,1351,0.5676488876342773
789,390,0.15077495574951172
119,64,0.01929497718811035
171,87,0.03743886947631836
535,266,0.09114909172058105
550,275,0.08869004249572754
4214,2051,0.7773470878601074
2271,1094,0.45032787322998047
26,13,0.007000923156738281
14423,6770,3.067020893096924
18,10,0.008449077606201172
31,18,0.0072748661041259766
2818,1386,0.579538106918335
1198,601,0.2657899856567383
188,93,0.05200791358947754
139,69,0.028706073760986328
52,28,0.00982809066772461
1301,643,0.29155611991882324
90,49,0.014242172241210938
67244,31455,13.602512121200562
