5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
16,57,168,164,40916,4672,437345,142343,37400,454864,72636,1000000,1000000,1000000,683166,1000000,1000000,1000000,1000000,1000000
12,30,61,155,1160,330,443745,218993,126878,514816,1000000,275653,153579,465053,1000000,1000000,1000000,1000000,1000000,1000000
17,49,283,560,1711,76010,127987,14997,7546,11727,109134,690753,1000000,10437,1000000,389322,1000000,1000000,1000000,1000000
11,35,126,164,3652,13662,32157,129810,460634,17412,127615,1000000,722409,164045,804935,1000000,1000000,1000000,1000000,1000000
15,37,207,1939,6978,31442,8544,3890,178797,457079,1000000,908452,1000000,1000000,1000000,1000000,1000000,342252,1000000,1000000
13,44,518,363,4825,4389,49302,89254,478001,1000000,1000000,24307,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
12,34,81,2187,4905,4124,6967,7716,24334,237506,21730,1000000,60138,1000000,157742,62050,1000000,1000000,1000000,1000000
14,54,210,1464,109,4675,26711,507244,223290,1000000,679875,190619,708506,1000000,80432,1000000,1000000,1000000,1000000,1000000
15,54,112,284,3399,25454,204,27367,58266,47862,50955,1000000,33262,688331,30395,46230,524834,1000000,1000000,1000000
13,48,406,485,1398,4666,1064,994918,110820,1000000,43755,1000000,43530,876973,1000000,136358,584393,1000000,338711,1000000
15,28,191,547,563,7487,42595,458,15249,1000000,793949,1000000,1000000,712925,1000000,1000000,1000000,1000000,1000000,217184
13,42,158,1202,8514,36156,5041,5575,73858,1000000,57683,35396,605398,377539,1000000,376849,575353,1000000,1000000,1000000
15,81,72,950,593,695,2096,346134,145469,1000000,172042,1000000,180376,1000000,732633,1000000,1000000,1000000,921920,1000000
16,39,55,467,15071,5121,4008,46108,340614,34541,1000000,563504,701957,878094,1000000,1000000,1000000,295833,27775,1000000
14,82,112,22,15785,542,2275,72912,263812,1000000,297493,843975,124142,1000000,1000000,30671,1000000,1000000,466316,44537
18,56,163,795,1211,8678,5591,1941,244021,1000000,130349,1000000,30280,1000000,936386,416779,1000000,1000000,1000000,696659
13,57,126,195,17833,3805,5639,41446,25162,199682,173776,400183,32268,115099,1000000,201390,49933,1000000,1000000,1000000
12,50,185,251,1486,587,30377,23164,64953,784708,81907,282346,1000000,1000000,832237,1000000,882429,1000000,1000000,1000000
14,42,102,1427,839,30770,81546,319083,15265,201884,98968,1000000,1000000,145821,1000000,784309,1000000,1000000,1000000,1000000
14,83,322,962,232,118682,11640,11537,68508,24963,203907,579974,1000000,728320,1000000,1000000,1000000,349723,1000000,1000000
15,64,611,1256,2785,5136,170308,37187,149785,218348,120961,32158,1000000,226373,1000000,1000000,287612,1000000,1000000,1000000
22,51,74,132,114,12521,28950,1329,494801,489412,381839,334094,1000000,110502,1000000,1000000,1000000,1000000,1000000,1000000
