File path,Nodes visited,Max heap size,Time
85/48.pickle,1000000,526425,60.0
85/78.pickle,1000000,1000000,60.0
85/96.pickle,237836,113970,48.85415697097778
85/40.pickle,1000000,999704,60.0
85/64.pickle,1000000,730524,60.0
85/31.pickle,1000000,1000000,60.0
85/50.pickle,10993,5351,2.0805728435516357
85/44.pickle,1000000,1000000,60.0
85/11.pickle,575353,275286,60.0
85/45.pickle,1000000,1000000,60.0
85/73.pickle,420802,197601,60.0
85/88.pickle,1000000,654592,60.0
85/33.pickle,1000000,1000000,60.0
85/81.pickle,979692,462987,60.0
85/29.pickle,1000000,1000000,60.0
85/2.pickle,1000000,680171,60.0
85/1.pickle,1000000,1000000,60.0
85/22.pickle,1000000,1000000,60.0
85/58.pickle,580606,270892,60.0
85/53.pickle,16671,8175,3.2727861404418945
85/87.pickle,1000000,775236,60.0
85/47.pickle,1000000,594790,60.0
85/12.pickle,1000000,1000000,60.0
85/25.pickle,1000000,1000000,60.0
85/93.pickle,1000000,1000000,60.0
85/30.pickle,698120,329953,60.0
85/97.pickle,1000000,1000000,60.0
85/79.pickle,1000000,493253,60.0
85/52.pickle,1000000,1000000,60.0
85/67.pickle,1000000,1000000,60.0
85/60.pickle,1000000,1000000,60.0
85/62.pickle,1000000,862912,60.0
85/0.pickle,1000000,1000000,60.0
85/4.pickle,1000000,1000000,60.0
85/74.pickle,1000000,722772,60.0
85/95.pickle,641920,306548,60.0
85/49.pickle,1000000,1000000,60.0
85/91.pickle,1000000,488769,60.0
85/94.pickle,676894,320601,60.0
85/84.pickle,1000000,1000000,60.0
85/86.pickle,1000000,1000000,60.0
85/55.pickle,1000000,618434,60.0
85/23.pickle,1000000,1000000,60.0
85/27.pickle,1000000,697001,60.0
85/75.pickle,1000000,1000000,60.0
85/56.pickle,608003,291513,60.0
85/21.pickle,1000000,1000000,60.0
85/26.pickle,1000000,1000000,60.0
85/72.pickle,227839,110419,45.80815601348877
85/83.pickle,1000000,1000000,60.0
85/10.pickle,1000000,1000000,60.0
85/17.pickle,882429,420183,60.0
85/77.pickle,1000000,568362,60.0
85/42.pickle,1000000,1000000,60.0
85/14.pickle,1000000,1000000,60.0
85/9.pickle,584393,278980,60.0
85/89.pickle,898360,421101,60.0
85/92.pickle,1000000,1000000,60.0
85/18.pickle,1000000,1000000,60.0
85/34.pickle,1000000,1000000,60.0
85/71.pickle,1000000,1000000,60.0
85/69.pickle,506332,240800,60.0
85/24.pickle,1000000,1000000,60.0
85/5.pickle,1000000,1000000,60.0
85/98.pickle,90040,43845,17.621888875961304
85/20.pickle,287612,138930,57.54782295227051
85/6.pickle,1000000,1000000,60.0
85/99.pickle,1000000,1000000,60.0
85/54.pickle,327883,156178,60.0
85/70.pickle,1000000,1000000,60.0
85/76.pickle,277885,133689,57.465917110443115
85/66.pickle,1000000,1000000,60.0
85/36.pickle,398391,187276,60.0
85/16.pickle,49933,24251,9.497002840042114
85/51.pickle,952996,458967,60.0
85/43.pickle,1000000,1000000,60.0
85/38.pickle,1000000,1000000,60.0
85/41.pickle,1000000,1000000,60.0
85/13.pickle,1000000,759117,60.0
85/68.pickle,16521,8293,3.398277759552002
85/3.pickle,1000000,1000000,60.0
85/19.pickle,1000000,1000000,60.0
85/59.pickle,973401,450375,60.0
85/46.pickle,916662,438948,60.0
85/28.pickle,565870,271573,60.0
85/85.pickle,1000000,1000000,60.0
85/57.pickle,1000000,578795,60.0
85/15.pickle,1000000,1000000,60.0
85/7.pickle,1000000,1000000,60.0
85/32.pickle,1000000,1000000,60.0
85/82.pickle,273381,130903,55.789910078048706
85/90.pickle,1000000,983947,60.0
85/35.pickle,1000000,661816,60.0
85/61.pickle,713105,325807,60.0
85/8.pickle,524834,246002,60.0
85/65.pickle,1000000,1000000,60.0
85/80.pickle,1000000,529170,60.0
85/63.pickle,1000000,1000000,60.0
85/39.pickle,1000000,1000000,60.0
85/37.pickle,1000000,1000000,60.0
