File path,Nodes visited,Heap size,Time
15/0.pickle,168,85,0.0279479026794433
15/1.pickle,61,33,0.0073578357696533
15/2.pickle,283,148,0.0439479351043701
15/3.pickle,126,64,0.0241007804870605
15/4.pickle,207,109,0.0360052585601806
15/5.pickle,518,258,0.0858891010284423
15/6.pickle,81,44,0.0103368759155273
15/7.pickle,210,108,0.0370059013366699
15/8.pickle,112,59,0.0209131240844726
15/9.pickle,406,205,0.0719439983367919
15/10.pickle,191,98,0.0347669124603271
15/11.pickle,158,83,0.0244851112365722
15/12.pickle,72,37,0.016172170639038
15/13.pickle,55,28,0.0067441463470458
15/14.pickle,112,58,0.019989013671875
15/15.pickle,163,82,0.0230588912963867
15/16.pickle,126,66,0.0239920616149902
15/17.pickle,185,96,0.0279040336608886
15/18.pickle,102,52,0.0124340057373046
15/19.pickle,322,163,0.0607359409332275
15/20.pickle,611,315,0.0914433002471923
15/21.pickle,74,37,0.0205597877502441
15/22.pickle,115,59,0.0244460105895996
15/23.pickle,142,75,0.0303401947021484
15/24.pickle,168,88,0.032459020614624
15/25.pickle,187,100,0.0331330299377441
15/26.pickle,227,113,0.0565011501312255
15/27.pickle,132,71,0.0253069400787353
15/28.pickle,160,82,0.0265290737152099
15/29.pickle,70,37,0.0087499618530273
15/30.pickle,134,71,0.0262768268585205
15/31.pickle,249,128,0.0405886173248291
15/32.pickle,86,45,0.0179829597473144
15/33.pickle,77,41,0.0185751914978027
15/34.pickle,67,34,0.0134429931640625
15/35.pickle,169,88,0.0307450294494628
15/36.pickle,110,58,0.0133798122406005
15/37.pickle,69,39,0.0156531333923339
15/38.pickle,343,181,0.0600371360778808
15/39.pickle,135,69,0.0204496383666992
15/40.pickle,75,40,0.0130040645599365
15/41.pickle,780,399,0.1067450046539306
15/42.pickle,63,33,0.0105149745941162
15/43.pickle,203,103,0.036531925201416
15/44.pickle,494,248,0.0737709999084472
15/45.pickle,194,101,0.0312912464141845
15/46.pickle,251,124,0.0447309017181396
15/47.pickle,63,33,0.0078473091125488
15/48.pickle,106,57,0.0241110324859619
15/49.pickle,674,338,0.1067419052124023
15/50.pickle,233,119,0.0420589447021484
15/51.pickle,151,78,0.02378511428833
15/52.pickle,140,73,0.0240612030029296
15/53.pickle,204,103,0.0254669189453125
15/54.pickle,181,91,0.027475357055664
15/55.pickle,189,92,0.0323410034179687
15/56.pickle,100,52,0.0231940746307373
15/57.pickle,296,156,0.0509870052337646
15/58.pickle,103,53,0.0310869216918945
15/59.pickle,78,41,0.0105109214782714
15/60.pickle,86,45,0.0202860832214355
15/61.pickle,54,29,0.0066139698028564
15/62.pickle,112,59,0.0189921855926513
15/63.pickle,122,64,0.0252468585968017
15/64.pickle,180,92,0.0348360538482666
15/65.pickle,111,55,0.0144309997558593
15/66.pickle,307,160,0.0499498844146728
15/67.pickle,119,60,0.0156128406524658
15/68.pickle,215,109,0.0369610786437988
15/69.pickle,203,108,0.0336151123046875
15/70.pickle,115,58,0.0223050117492675
15/71.pickle,205,103,0.0577027797698974
15/72.pickle,100,51,0.0177981853485107
15/73.pickle,606,300,0.1086158752441406
15/74.pickle,254,131,0.0522089004516601
15/75.pickle,163,85,0.0293922424316406
15/76.pickle,305,158,0.061202049255371
15/77.pickle,14,9,0.0032918453216552
15/78.pickle,284,149,0.0510504245758056
15/79.pickle,328,169,0.0485980510711669
15/80.pickle,155,79,0.0289390087127685
15/81.pickle,67,33,0.0157868862152099
15/82.pickle,125,65,0.0276029109954834
15/83.pickle,63,33,0.0198478698730468
15/84.pickle,99,55,0.0121352672576904
15/85.pickle,411,213,0.0729279518127441
15/86.pickle,279,145,0.0399868488311767
15/87.pickle,71,36,0.0174520015716552
15/88.pickle,138,71,0.0255212783813476
15/89.pickle,50,26,0.0128710269927978
15/90.pickle,143,78,0.0221118927001953
15/91.pickle,51,25,0.0124320983886718
15/92.pickle,269,138,0.0413799285888671
15/93.pickle,210,109,0.0414762496948242
15/94.pickle,166,85,0.0324330329895019
15/95.pickle,117,61,0.0217909812927246
15/96.pickle,120,60,0.0224149227142334
15/97.pickle,162,84,0.0293560028076171
15/98.pickle,55,30,0.0220270156860351
15/99.pickle,568,284,0.0851361751556396
