File path,Nodes visited,Heap size,Time
5/0.pickle,16,9,0.0047323703765869
5/1.pickle,12,7,0.0028719902038574
5/2.pickle,17,9,0.0020809173583984
5/3.pickle,11,6,0.0012929439544677
5/4.pickle,15,9,0.0016109943389892
5/5.pickle,13,8,0.0036957263946533
5/6.pickle,12,7,0.001401662826538
5/7.pickle,14,9,0.0015318393707275
5/8.pickle,15,9,0.0017080307006835
5/9.pickle,13,7,0.0015151500701904
5/10.pickle,15,9,0.0088899135589599
5/11.pickle,13,8,0.0014750957489013
5/12.pickle,15,9,0.0017311573028564
5/13.pickle,16,8,0.0019693374633789
5/14.pickle,14,9,0.0014593601226806
5/15.pickle,18,11,0.0020220279693603
5/16.pickle,13,8,0.0014548301696777
5/17.pickle,12,7,0.0013039112091064
5/18.pickle,14,9,0.0014598369598388
5/19.pickle,14,9,0.0015017986297607
5/20.pickle,15,9,0.00164794921875
5/21.pickle,22,14,0.0023722648620605
5/22.pickle,13,8,0.0014560222625732
5/23.pickle,11,6,0.001298189163208
5/24.pickle,14,9,0.0015459060668945
5/25.pickle,18,12,0.0026350021362304
5/26.pickle,11,6,0.0013148784637451
5/27.pickle,14,9,0.0014817714691162
5/28.pickle,22,14,0.0024468898773193
5/29.pickle,12,7,0.001378059387207
5/30.pickle,13,8,0.0013940334320068
5/31.pickle,11,6,0.0012998580932617
5/32.pickle,12,7,0.0013799667358398
5/33.pickle,17,10,0.0126280784606933
5/34.pickle,11,6,0.0012967586517333
5/35.pickle,12,7,0.0014071464538574
5/36.pickle,10,5,0.0012068748474121
5/37.pickle,10,5,0.0040669441223144
5/38.pickle,17,9,0.0020756721496582
5/39.pickle,10,5,0.0011978149414062
5/40.pickle,14,9,0.0015442371368408
5/41.pickle,17,9,0.0031533241271972
5/42.pickle,15,9,0.0015969276428222
5/43.pickle,17,9,0.0020749568939208
5/44.pickle,13,8,0.0014729499816894
5/45.pickle,12,7,0.0012931823730468
5/46.pickle,18,10,0.0059230327606201
5/47.pickle,14,9,0.001528263092041
5/48.pickle,13,7,0.0040431022644042
5/49.pickle,15,10,0.0015490055084228
5/50.pickle,13,8,0.0014710426330566
5/51.pickle,15,9,0.0055577754974365
5/52.pickle,12,7,0.0012979507446289
5/53.pickle,11,6,0.0033161640167236
5/54.pickle,15,10,0.0015790462493896
5/55.pickle,10,5,0.0032730102539062
5/56.pickle,14,9,0.0014309883117675
5/57.pickle,14,9,0.0015439987182617
5/58.pickle,14,9,0.001533031463623
5/59.pickle,14,9,0.0015311241149902
5/60.pickle,17,9,0.0020339488983154
5/61.pickle,13,8,0.0014619827270507
5/62.pickle,15,10,0.0016350746154785
5/63.pickle,13,8,0.0014352798461914
5/64.pickle,16,11,0.0017268657684326
5/65.pickle,11,6,0.0012860298156738
5/66.pickle,11,6,0.0037009716033935
5/67.pickle,16,9,0.001849889755249
5/68.pickle,17,9,0.0021018981933593
5/69.pickle,12,7,0.0014441013336181
5/70.pickle,17,9,0.00350022315979
5/71.pickle,15,9,0.0017211437225341
5/72.pickle,17,9,0.0044338703155517
5/73.pickle,16,8,0.00685715675354
5/74.pickle,18,11,0.0020451545715332
5/75.pickle,17,9,0.0020270347595214
5/76.pickle,10,5,0.0012018680572509
5/77.pickle,14,9,0.0015740394592285
5/78.pickle,12,7,0.0014040470123291
5/79.pickle,13,8,0.0014688968658447
5/80.pickle,14,9,0.0015869140625
5/81.pickle,14,9,0.0015082359313964
5/82.pickle,15,10,0.0015797615051269
5/83.pickle,14,9,0.0038559436798095
5/84.pickle,14,9,0.0014591217041015
5/85.pickle,16,11,0.0016090869903564
5/86.pickle,11,6,0.001298189163208
5/87.pickle,16,8,0.0028018951416015
5/88.pickle,13,8,0.0014929771423339
5/89.pickle,12,7,0.0013809204101562
5/90.pickle,18,12,0.0052058696746826
5/91.pickle,11,6,0.0013189315795898
5/92.pickle,15,9,0.0017499923706054
5/93.pickle,18,10,0.0021090507507324
5/94.pickle,14,9,0.0015151500701904
5/95.pickle,16,9,0.0064592361450195
5/96.pickle,13,8,0.0037677288055419
5/97.pickle,11,6,0.0012969970703125
5/98.pickle,13,8,0.0014300346374511
5/99.pickle,17,9,0.0020217895507812
