File path,Nodes visited,Heap size,Time
75/0.pickle,683166,325863,60.0
75/1.pickle,1000000,474597,60.0
75/2.pickle,1000000,474171,60.0
75/3.pickle,804935,387480,60.0
75/4.pickle,1000000,469356,60.0
75/5.pickle,1000000,470092,60.0
75/6.pickle,157742,76874,20.89370393753052
75/7.pickle,80432,39098,10.49996280670166
75/8.pickle,30395,14348,4.047215223312378
75/9.pickle,1000000,476744,60.0
75/10.pickle,1000000,471370,60.0
75/11.pickle,1000000,478820,60.0
75/12.pickle,732633,347250,60.0
75/13.pickle,1000000,470534,60.0
75/14.pickle,1000000,480813,60.0
75/15.pickle,936386,443229,60.0
75/16.pickle,1000000,468794,60.0
75/17.pickle,832237,394192,60.0
75/18.pickle,1000000,482189,60.0
75/19.pickle,1000000,473033,60.0
75/20.pickle,1000000,467998,60.0
75/21.pickle,1000000,471311,60.0
75/22.pickle,110220,53432,14.7695951461792
75/23.pickle,1000000,466232,60.0
75/24.pickle,1000000,481263,60.0
75/25.pickle,600672,288038,60.0
75/26.pickle,1000000,476332,60.0
75/27.pickle,660332,314721,60.0
75/28.pickle,4700,2297,0.5994482040405273
75/29.pickle,51863,24390,7.229680776596069
75/30.pickle,202394,95292,27.13065814971924
75/31.pickle,118194,56633,16.14815592765808
75/32.pickle,84707,40854,11.403942823410034
75/33.pickle,1000000,470818,60.0
75/34.pickle,1000000,466149,60.0
75/35.pickle,390682,185035,54.31395506858826
75/36.pickle,1000000,483168,60.0
75/37.pickle,897691,434884,60.0
75/38.pickle,215455,103236,28.898799180984497
75/39.pickle,1000000,478816,60.0
75/40.pickle,80386,38827,10.993462085723875
75/41.pickle,697600,328792,60.0
75/42.pickle,702433,335536,60.0
75/43.pickle,1000000,477546,60.0
75/44.pickle,660354,316840,60.0
75/45.pickle,1000000,476468,60.0
75/46.pickle,1000000,456698,60.0
75/47.pickle,1000000,466998,60.0
75/48.pickle,1000000,471659,60.0
75/49.pickle,25032,12221,3.259507894515991
75/50.pickle,188808,90000,25.964813947677612
75/51.pickle,91338,43985,11.991863012313845
75/52.pickle,1000000,471742,60.0
75/53.pickle,1000000,473082,60.0
75/54.pickle,1000000,481322,60.0
75/55.pickle,1000000,485695,60.0
75/56.pickle,972635,456695,60.0
75/57.pickle,1000000,467640,60.0
75/58.pickle,1000000,472967,60.0
75/59.pickle,320997,153264,43.23710012435913
75/60.pickle,1000000,469622,60.0
75/61.pickle,1000000,466307,60.0
75/62.pickle,1000000,476111,60.0
75/63.pickle,326247,152951,45.94923281669617
75/64.pickle,231083,114235,31.06660485267639
75/65.pickle,1000000,458802,60.0
75/66.pickle,1000000,464818,60.0
75/67.pickle,1000000,467566,60.0
75/68.pickle,1000000,482439,60.0
75/69.pickle,1000000,478060,60.0
75/70.pickle,1000000,473110,60.0
75/71.pickle,1000000,475564,60.0
75/72.pickle,1000000,458795,60.0
75/73.pickle,1000000,472527,60.0
75/74.pickle,1000000,464138,60.0
75/75.pickle,1000000,477339,60.0
75/76.pickle,1000000,469028,60.0
75/77.pickle,138562,67577,18.86717009544373
75/78.pickle,91680,43897,12.369324207305908
75/79.pickle,1000000,465117,60.0
75/80.pickle,1000000,467231,60.0
75/81.pickle,979807,465112,60.0
75/82.pickle,1000000,471048,60.0
75/83.pickle,526624,248417,60.0
75/84.pickle,914857,432527,60.0
75/85.pickle,1000000,477061,60.0
75/86.pickle,151459,70879,20.946203231811523
75/87.pickle,1000000,474996,60.0
75/88.pickle,229885,110063,31.878189086914062
75/89.pickle,205530,97816,27.54594993591309
75/90.pickle,479370,227467,60.0
75/91.pickle,1000000,464403,60.0
75/92.pickle,1000000,478973,60.0
75/93.pickle,1000000,466567,60.0
75/94.pickle,921924,425370,60.0
75/95.pickle,295154,142704,40.3963668346405
75/96.pickle,1000000,473103,60.0
75/97.pickle,1000000,461266,60.0
75/98.pickle,63075,30140,8.335113286972046
75/99.pickle,1000000,473851,60.0
