File path,Nodes visited,Heap size,Time
50/0.pickle,454864,217075,60.0
50/1.pickle,514816,249830,60.0
50/2.pickle,11727,5743,1.5144503116607666
50/3.pickle,17412,8497,2.294067859649658
50/4.pickle,457079,216922,60.0
50/5.pickle,1000000,470850,60.0
50/6.pickle,237506,112758,33.48716974258423
50/7.pickle,1000000,481159,60.0
50/8.pickle,47862,23417,6.357611179351807
50/9.pickle,1000000,469419,60.0
50/10.pickle,1000000,469952,60.0
50/11.pickle,1000000,467601,60.0
50/12.pickle,1000000,459528,60.0
50/13.pickle,34541,17020,4.520637035369873
50/14.pickle,1000000,473758,60.0
50/15.pickle,1000000,476724,60.0
50/16.pickle,199682,96495,27.06443977355957
50/17.pickle,784708,367916,60.0
50/18.pickle,201884,95701,28.678422927856445
50/19.pickle,24963,12061,3.452578067779541
50/20.pickle,218348,106642,30.26321792602539
50/21.pickle,489412,234655,60.0
50/22.pickle,46661,22929,6.05818510055542
50/23.pickle,37570,18217,5.00934624671936
50/24.pickle,388017,187523,53.06277513504028
50/25.pickle,1000000,477531,60.0
50/26.pickle,897257,425830,60.0
50/27.pickle,15011,7400,1.985358953475952
50/28.pickle,185106,90359,24.80841088294983
50/29.pickle,14571,7093,1.922449827194214
50/30.pickle,1000000,470661,60.0
50/31.pickle,302295,141308,42.12517714500427
50/32.pickle,13891,6773,1.964259147644043
50/33.pickle,12729,6380,1.6840550899505615
50/34.pickle,19037,9384,2.5865440368652344
50/35.pickle,83741,40946,11.152516841888428
50/36.pickle,1000000,463796,60.0
50/37.pickle,145737,70698,19.919039011001587
50/38.pickle,623694,295443,60.0
50/39.pickle,556747,265570,60.0
50/40.pickle,101848,48340,13.727386951446531
50/41.pickle,893,449,0.1319618225097656
50/42.pickle,2759,1410,0.3676760196685791
50/43.pickle,72411,34820,9.71011209487915
50/44.pickle,1000000,474228,60.0
50/45.pickle,102395,50193,13.977643966674805
50/46.pickle,540914,252850,60.0
50/47.pickle,830073,402625,60.0
50/48.pickle,8548,4218,1.1031880378723145
50/49.pickle,15813,7741,2.0883100032806396
50/50.pickle,318350,152595,44.345561027526855
50/51.pickle,817854,398392,60.0
50/52.pickle,86828,42187,11.734485864639282
50/53.pickle,29708,14395,3.962967157363891
50/54.pickle,60836,29871,8.138741970062256
50/55.pickle,193749,93974,26.429593801498413
50/56.pickle,1000000,475029,60.0
50/57.pickle,8541,4250,1.1355040073394775
50/58.pickle,2071,1016,0.2902381420135498
50/59.pickle,6491,3214,0.8612751960754395
50/60.pickle,115391,55396,15.820857048034668
50/61.pickle,355462,171526,48.72577214241028
50/62.pickle,106998,50816,14.796807050704956
50/63.pickle,1000000,467107,60.0
50/64.pickle,220794,105802,29.806921005249023
50/65.pickle,751538,357658,60.0
50/66.pickle,3061,1516,0.414957046508789
50/67.pickle,1000000,472879,60.0
50/68.pickle,307861,143371,43.398043155670166
50/69.pickle,4658,2279,0.6210887432098389
50/70.pickle,16230,8011,2.1106178760528564
50/71.pickle,1000000,462247,60.0
50/72.pickle,1000000,470534,60.0
50/73.pickle,596038,284452,60.0
50/74.pickle,705678,333982,60.0
50/75.pickle,304061,146029,42.32357406616211
50/76.pickle,1000000,469521,60.0
50/77.pickle,32760,15851,4.442387342453003
50/78.pickle,44638,21576,6.030184984207153
50/79.pickle,159652,76421,22.276901960372925
50/80.pickle,115301,56043,15.984429836273192
50/81.pickle,3819,1878,0.5075998306274414
50/82.pickle,1000000,475707,60.0
50/83.pickle,124594,59742,16.91373324394226
50/84.pickle,115806,55916,15.913989067077637
50/85.pickle,16181,8101,2.1574857234954834
50/86.pickle,30234,15032,3.944144964218139
50/87.pickle,1000000,477559,60.0
50/88.pickle,383874,185514,53.59077501296997
50/89.pickle,224724,108103,30.706403732299805
50/90.pickle,905306,435156,60.0
50/91.pickle,125847,60086,17.342792987823486
50/92.pickle,518175,246299,60.0
50/93.pickle,30237,14682,3.9993648529052734
50/94.pickle,404663,196166,55.581538915634155
50/95.pickle,1000000,471869,60.0
50/96.pickle,2703,1328,0.3571047782897949
50/97.pickle,85078,40780,11.949728965759276
50/98.pickle,237566,115541,32.458479166030884
50/99.pickle,1000000,469116,60.0
