File path,Nodes visited,Heap size,Time
55/0.pickle,72636,35529,9.870028018951416
55/1.pickle,1000000,472756,60.0
55/2.pickle,109134,52317,14.93619990348816
55/3.pickle,127615,61100,17.15733289718628
55/4.pickle,1000000,478608,60.0
55/5.pickle,1000000,469830,60.0
55/6.pickle,21730,10307,2.920373916625977
55/7.pickle,679875,322317,60.0
55/8.pickle,50955,24372,6.797845125198364
55/9.pickle,43755,21212,5.892102003097534
55/10.pickle,793949,372522,60.0
55/11.pickle,57683,27968,7.723607063293457
55/12.pickle,172042,82200,23.447631120681763
55/13.pickle,1000000,476910,60.0
55/14.pickle,297493,141204,41.83098602294922
55/15.pickle,130349,63128,17.97819185256958
55/16.pickle,173776,83351,24.01447176933289
55/17.pickle,81907,40452,11.13479495048523
55/18.pickle,98968,48414,13.521780967712402
55/19.pickle,203907,96089,28.821566104888916
55/20.pickle,120961,58851,16.251274824142456
55/21.pickle,381839,182005,52.88351202011109
55/22.pickle,320590,153838,44.50772976875305
55/23.pickle,54357,26552,7.179966926574707
55/24.pickle,1000000,479981,60.0
55/25.pickle,137442,66401,19.073927879333496
55/26.pickle,27823,13663,3.881369113922119
55/27.pickle,1000000,475999,60.0
55/28.pickle,1000000,474261,60.0
55/29.pickle,66411,31805,9.096918106079102
55/30.pickle,616,308,0.0933601856231689
55/31.pickle,1000000,468462,60.0
55/32.pickle,334647,161417,45.75988793373108
55/33.pickle,677,354,0.0858960151672363
55/34.pickle,125627,59563,16.707550048828125
55/35.pickle,925199,438079,60.0
55/36.pickle,161584,76739,60.0
55/37.pickle,87067,42128,16.88765788078308
55/38.pickle,56278,27859,10.722447156906128
55/39.pickle,28814,14080,5.412624835968018
55/40.pickle,41581,20456,7.588504076004028
55/41.pickle,394311,188307,60.0
55/42.pickle,1000000,472528,60.0
55/43.pickle,37434,18032,60.0
55/44.pickle,297131,144688,60.0
55/45.pickle,1000000,474002,60.0
55/46.pickle,770639,370356,60.0
55/47.pickle,278686,134033,60.0
55/48.pickle,194559,93283,39.64115905761719
55/49.pickle,61267,29294,11.873755931854248
55/50.pickle,61744,29720,12.87571406364441
55/51.pickle,139247,65946,30.09238004684448
55/52.pickle,934618,449890,60.0
55/53.pickle,967108,465314,60.0
55/54.pickle,1000000,475264,60.0
55/55.pickle,1006,503,0.160762071609497
55/56.pickle,1000000,466882,60.0
55/57.pickle,403523,191028,60.0
55/58.pickle,1000000,465856,60.0
55/59.pickle,55023,26792,7.344480991363525
55/60.pickle,6107,3011,0.7989339828491211
55/61.pickle,322240,153919,45.242512941360474
55/62.pickle,8252,4067,1.1474590301513672
55/63.pickle,46398,22414,6.401308059692383
55/64.pickle,941891,441880,60.0
55/65.pickle,52144,25012,7.143869876861572
55/66.pickle,470491,225228,60.0
55/67.pickle,138390,66764,18.65574026107788
55/68.pickle,15381,7561,1.980886936187744
55/69.pickle,1000000,472474,60.0
55/70.pickle,28765,13955,4.251727819442749
55/71.pickle,34762,16658,4.828049182891846
55/72.pickle,789304,373770,60.0
55/73.pickle,59766,29010,8.313075065612793
55/74.pickle,1000000,478234,60.0
55/75.pickle,598051,287543,60.0
55/76.pickle,79174,39280,10.42506504058838
55/77.pickle,1000000,475658,60.0
55/78.pickle,27863,13496,3.6622438430786137
55/79.pickle,1000000,475281,60.0
55/80.pickle,1000000,475826,60.0
55/81.pickle,114206,54947,15.876868724822998
55/82.pickle,1000000,465190,60.0
55/83.pickle,870992,418543,60.0
55/84.pickle,1000000,468222,60.0
55/85.pickle,123507,58850,16.73199987411499
55/86.pickle,1000000,480344,60.0
55/87.pickle,176117,84908,24.5299551486969
55/88.pickle,1000000,472460,60.0
55/89.pickle,185668,89568,25.537005186080933
55/90.pickle,76149,37038,10.540889978408812
55/91.pickle,1000000,473933,60.0
55/92.pickle,339334,162868,47.20903992652893
55/93.pickle,71396,34521,9.407203197479248
55/94.pickle,798080,372018,60.0
55/95.pickle,259518,125311,35.39822292327881
55/96.pickle,244851,117222,34.09786081314087
55/97.pickle,1000000,470463,60.0
55/98.pickle,375549,181945,52.10131096839905
55/99.pickle,492856,231180,60.0
