File path,Nodes visited,Max heap size,Time
70/48.pickle,1000000,1000000,60
70/51.pickle,1000000,1000000,60
70/60.pickle,1000000,1000000,60
70/79.pickle,1000000,1000000,60
70/32.pickle,1000000,1000000,60
70/62.pickle,1000000,1000000,60
70/24.pickle,1000000,1000000,60
70/53.pickle,1000000,1000000,60
70/42.pickle,1000000,1000000,60
70/16.pickle,1000000,1000000,60
70/45.pickle,1000000,1000000,60
70/85.pickle,1000000,1000000,60
70/54.pickle,1000000,1000000,60
70/83.pickle,1000000,1000000,60
70/38.pickle,1000000,1000000,60
70/55.pickle,1000000,1000000,60
70/87.pickle,1000000,1000000,60
70/3.pickle,1000000,1000000,60
70/80.pickle,1000000,1000000,60
70/19.pickle,1000000,1000000,60
70/13.pickle,1000000,1000000,60
70/99.pickle,1000000,1000000,60
70/11.pickle,1000000,1000000,60
70/58.pickle,1000000,1000000,60
70/10.pickle,1000000,1000000,60
70/57.pickle,1000000,1000000,60
70/78.pickle,1000000,1000000,60
70/43.pickle,1000000,1000000,60
70/68.pickle,1000000,1000000,60
70/8.pickle,1000000,1000000,60
70/89.pickle,1000000,1000000,60
70/26.pickle,1000000,1000000,60
70/12.pickle,1000000,1000000,60
70/40.pickle,1000000,1000000,60
70/94.pickle,1000000,1000000,60
70/0.pickle,1000000,1000000,60
70/1.pickle,1000000,1000000,60
70/39.pickle,1000000,1000000,60
70/21.pickle,1000000,1000000,60
70/44.pickle,1000000,1000000,60
70/61.pickle,1000000,1000000,60
70/56.pickle,1000000,1000000,60
70/27.pickle,1000000,1000000,60
70/71.pickle,1000000,1000000,60
70/33.pickle,1000000,1000000,60
70/20.pickle,1000000,1000000,60
70/96.pickle,1000000,1000000,60
70/47.pickle,1000000,1000000,60
70/34.pickle,1000000,1000000,60
70/37.pickle,1000000,1000000,60
70/50.pickle,1000000,1000000,60
70/75.pickle,1000000,1000000,60
70/30.pickle,1000000,1000000,60
70/5.pickle,1000000,1000000,60
70/76.pickle,1000000,1000000,60
70/46.pickle,1000000,1000000,60
70/81.pickle,1000000,1000000,60
70/70.pickle,1000000,1000000,60
70/31.pickle,1000000,1000000,60
70/98.pickle,1000000,1000000,60
70/73.pickle,1000000,1000000,60
70/36.pickle,1000000,1000000,60
70/74.pickle,1000000,1000000,60
70/15.pickle,1000000,1000000,60
70/28.pickle,1000000,1000000,60
70/49.pickle,1000000,1000000,60
70/63.pickle,1000000,1000000,60
70/41.pickle,1000000,1000000,60
70/52.pickle,1000000,1000000,60
70/90.pickle,1000000,1000000,60
70/4.pickle,1000000,1000000,60
70/17.pickle,1000000,1000000,60
70/97.pickle,1000000,1000000,60
70/29.pickle,1000000,1000000,60
70/9.pickle,1000000,1000000,60
70/25.pickle,1000000,1000000,60
70/2.pickle,1000000,1000000,60
70/77.pickle,1000000,1000000,60
70/59.pickle,1000000,1000000,60
70/64.pickle,1000000,1000000,60
70/14.pickle,1000000,1000000,60
70/86.pickle,1000000,1000000,60
70/95.pickle,1000000,1000000,60
70/6.pickle,1000000,1000000,60
70/84.pickle,1000000,1000000,60
70/91.pickle,1000000,1000000,60
70/65.pickle,1000000,1000000,60
70/67.pickle,1000000,1000000,60
70/18.pickle,1000000,1000000,60
70/72.pickle,1000000,1000000,60
70/35.pickle,1000000,1000000,60
70/7.pickle,1000000,1000000,60
70/23.pickle,1000000,1000000,60
70/88.pickle,1000000,1000000,60
70/93.pickle,1000000,1000000,60
70/69.pickle,1000000,1000000,60
70/82.pickle,1000000,1000000,60
70/92.pickle,1000000,1000000,60
70/66.pickle,1000000,1000000,60
70/22.pickle,1000000,1000000,60
